L1_orth,L1_L1wiktionary,L1_enwiktionary,L1_ipa,L1_en,L1_disambiguated,L1_suffix,L1_pos,L1_year,L1_macro_family,L1_family,L1_language,L1_region,L1_type,L1_loan,L1_certainty,L1_closest_wold_concept,L1_borrowability,L1_closest_wold_concept_similarity
szenátor,https://hu.wiktionary.org/wiki/szenátor#Magyar,https://en.wiktionary.org/wiki/szenátor#Hungarian,sɛnaːtor,senator,0,-,n,1559,IE,Romance,Latin,no_info,general,+,certain,"('senator', 'bill')",0.63028169,0.70321846
szende,https://hu.wiktionary.org/wiki/szende#Magyar,https://en.wiktionary.org/wiki/szende#Hungarian,sɛndɛ,"ingenue, meek",0,-,n,1823,no_info,no_info,no_info,no_info,back-formation,-,certain,"('ingenue', 'beggar')",0.207198444,0.581240892
szenderedik,https://hu.wiktionary.org/wiki/szenderedik#Magyar,https://en.wiktionary.org/wiki/szenderedik#Hungarian,sɛndɛrɛdik,"become_sleepy, snooze",0,-,v,1527,no_info,no_info,no_info,no_info,derivative,-,certain,"('snooze', 'blink')",0.138297872,0.601526499
szendvics,https://hu.wiktionary.org/wiki/szendvics#Magyar,https://en.wiktionary.org/wiki/szendvics#Hungarian,sɛndvit͡ʃ,"canapé, sandwich",0,-,n,1853,no_info,no_info,no_info,no_info,internationalism,+,certain,"('sandwich', 'sausage')",0.528985507,0.846955061
szenilis,https://hu.wiktionary.org/wiki/szenilis#Magyar,https://en.wiktionary.org/wiki/szenilis#Hungarian,sɛniliʃ,"doting, gaga, senile",0,-,a,1865,IE,Romance,Latin,no_info,general,+,certain,"('doting', 'mother-in-law')",0.188972513,0.757226229
szenna,https://hu.wiktionary.org/wiki/szenna#Magyar,https://en.wiktionary.org/wiki/szenna#Hungarian,sɛnːɒ,senna,0,-,n,1578,no_info,no_info,no_info,no_info,internationalism, Wanderwort,"+,","('senna', 'pole')",0.389097744,0.509991288
szennyes,https://hu.wiktionary.org/wiki/szennyes#Magyar,https://en.wiktionary.org/wiki/szennyes#Hungarian,sɛɲːɛʃ,"dirty, drossy, filthy, laundry, messy, muddy, scuzzy, soiled, turbid, wash",0,-,a,1519,no_info,no_info,no_info,no_info,no_info,-,certain,"('wash', 'wash')",0.098214286,1
szent,https://hu.wiktionary.org/wiki/szent#Magyar,https://en.wiktionary.org/wiki/szent#Hungarian,sɛnt,"blessed, bounden, hieratic, holy, sacred, saint, sainted, saintly, sanctified",0,-,a,1200,IE,Slavic,Croatian, Serbian,no_info,-,"+,?","('holy', 'holy')",0.286480687,0.99999994
szentel,https://hu.wiktionary.org/wiki/szentel#Magyar,https://en.wiktionary.org/wiki/szentel#Hungarian,sɛntɛl,"consecrate, dedicate, devote",0,-,v,1372,no_info,no_info,no_info,no_info,contempted origin,+,certain,"('dedicate', 'promise')",0.321428571,0.584175408
szentencia,https://hu.wiktionary.org/wiki/szentencia#Magyar,https://en.wiktionary.org/wiki/szentencia#Hungarian,sɛntɛnt͡siɒ,verses,0,-,n,1474,IE,Romance,Latin,no_info,general,+,certain,"('verses', 'read')",0.433544304,0.59337908
szentigaz,https://hu.wiktionary.org/wiki/szentigaz#Magyar,https://en.wiktionary.org/wiki/szentigaz#Hungarian,sɛntiɡɒz,gospel_truth,0,-,a,1763,no_info,no_info,no_info,no_info,no_info,-,certain,(),0,-1
szentimentális,https://hu.wiktionary.org/wiki/szentimentális#Magyar,https://en.wiktionary.org/wiki/szentimentális#Hungarian,sɛntimɛntaːliʃ,"namby-pamby, sentimental, sickly, sloppy",0,-,a,1806,no_info,no_info,no_info,no_info,internationalism,+,certain,"('sentimental', 'love')",0.15324165,0.646274805
szentjánosbogár,https://hu.wiktionary.org/wiki/szentjánosbogár#Magyar,https://en.wiktionary.org/wiki/szentjánosbogár#Hungarian,sɛntjaːnoʃboɡaːr,"firebug, firefly, glowworm",0,-,n,1794,no_info,no_info,no_info,no_info,no_info,-,certain,"('firefly', 'firefly')",0.097222222,1
szentjánoskenyér,https://hu.wiktionary.org/wiki/szentjánoskenyér#Magyar,https://en.wiktionary.org/wiki/szentjánoskenyér#Hungarian,sɛntjaːnoʃkɛɲeːr,"locust, locust-beam, ""St._Johns_bread""",0,-,n,1778,no_info,no_info,no_info,no_info,no_info,-,certain,"('locust', 'swamp')",0.208737864,0.628182828
szentjobb,https://hu.wiktionary.org/wiki/szentjobb#Magyar,https://en.wiktionary.org/wiki/szentjobb#Hungarian,sɛntjobː,sacred_right,0,-,a,1897,no_info,no_info,no_info,no_info,no_info,-,certain,(),0,-1
szentlélek,https://hu.wiktionary.org/wiki/szentlélek#Magyar,https://en.wiktionary.org/wiki/szentlélek#Hungarian,sɛntleːlɛk,holy_ghost,0,-,n,1300,IE,Romance,Latin,no_info,calque, compound,"+,",(),0,-1
szenved,https://hu.wiktionary.org/wiki/szenved#Magyar,https://en.wiktionary.org/wiki/szenved#Hungarian,sɛnvɛd,"labor, labour, smart, sweat",0,-,v,1372,no_info,no_info,no_info,no_info,derivative,-,certain,"('labor', 'wages')",0.531914894,0.742827654
szenvtelen,https://hu.wiktionary.org/wiki/szenvtelen#Magyar,https://en.wiktionary.org/wiki/szenvtelen#Hungarian,sɛnvtɛlɛn,"calm, cool, detached, dispassionate, emotionless, immovable, unmoved",0,-,a,1842,no_info,no_info,no_info,no_info,derivative,-,certain,"('calm', 'calm')",0.264705882,1
szenvtelen,https://hu.wiktionary.org/wiki/szenvtelen#Magyar,https://en.wiktionary.org/wiki/szenvtelen#Hungarian,sɛnvtɛlɛn,"calm, cool, detached, dispassionate, emotionless, immovable, unmoved",0,-,a,1842,no_info,no_info,no_info,no_info,derivative,-,certain,"('calm', 'calm')",0.264705882,1
szenzáció,https://hu.wiktionary.org/wiki/szenzáció#Magyar,https://en.wiktionary.org/wiki/szenzáció#Hungarian,sɛnzaːt͡sioː,"beat, out-and-outer, sensation, stir",0,-,n,1789,no_info,no_info,no_info,no_info,internationalism,+,certain,"('beat', 'beat')",0.044897959,1
szép,https://hu.wiktionary.org/wiki/szép#Magyar,https://en.wiktionary.org/wiki/szép#Hungarian,seːp,"beautiful, fair, fine, good, lovely, nice, nice-looking, pretty, proper",0,-,a,1300,FU,no_info,no_info,no_info,no_info,-,uncertain,"('beautiful', 'beautiful')",0.217028381,1
szépanya,https://hu.wiktionary.org/wiki/szépanya#Magyar,https://en.wiktionary.org/wiki/szépanya#Hungarian,seːpɒɲɒ,beautiful_mother,0,-,n,1533,no_info,no_info,no_info,no_info,no_info,-,certain,(),0,-1
szeparál,https://hu.wiktionary.org/wiki/szeparál#Magyar,https://en.wiktionary.org/wiki/szeparál#Hungarian,sɛpɒraːl,separate,0,-,r,1644,IE,Romance,Latin,no_info,general,+,certain,"('separate', 'separate')",0.17976736,1
szeparatista,https://hu.wiktionary.org/wiki/szeparatista#Magyar,https://en.wiktionary.org/wiki/szeparatista#Hungarian,sɛpɒrɒtiʃtɒ,"secessionist, separatist",0,-,a,1865,no_info,no_info,no_info,no_info,internationalism,+,certain,"('separatist', 'crush')",0.081306991,0.647797048
szepeg,https://hu.wiktionary.org/wiki/szepeg#Magyar,https://en.wiktionary.org/wiki/szepeg#Hungarian,sɛpɛɡ,sob,0,-,v,1372,no_info,no_info,no_info,no_info,no_info,-,certain,"('sob', 'shriek')",0.184397163,0.605678082
szépfiú,https://hu.wiktionary.org/wiki/szépfiú#Magyar,https://en.wiktionary.org/wiki/szépfiú#Hungarian,seːpfiuː,"sheik, sheikh",0,-,n,1900,no_info,no_info,no_info,no_info,no_info,-,certain,"('sheikh', 'minister')",0.770642202,0.519271314
szépíró,https://hu.wiktionary.org/wiki/szépíró#Magyar,https://en.wiktionary.org/wiki/szépíró#Hungarian,seːpiːroː,"penman, penmen",0,-,n,1761,IE,Germanic,German,no_info,calque, compound,"+,","('penman', 'awl')",0.278688525,0.532433212
szépíró,https://hu.wiktionary.org/wiki/szépíró#Magyar,https://en.wiktionary.org/wiki/szépíró#Hungarian,seːpiːroː,"penman, penmen",0,-,n,1761,IE,Germanic,German,no_info,calque, compound,"+,","('penman', 'awl')",0.278688525,0.532433212
szeplő,https://hu.wiktionary.org/wiki/szeplő#Magyar,https://en.wiktionary.org/wiki/szeplő#Hungarian,sɛpløː,"fleck, freckle, mole, sunspot",0,-,n,1300,Turkic,no_info,no_info,no_info,no_info,+,uncertain,"('mole', 'snake')",0.154228856,0.669768631
szépszerével,https://hu.wiktionary.org/wiki/szépszerével#Magyar,https://en.wiktionary.org/wiki/szépszerével#Hungarian,seːpsɛreːvɛl,beautiful_times_of,0,-,v,1722,no_info,no_info,no_info,no_info,no_info,-,certain,(),0,-1
szeptember,https://hu.wiktionary.org/wiki/szeptember#Magyar,https://en.wiktionary.org/wiki/szeptember#Hungarian,sɛptɛmbɛr,September,0,-,n,1416,IE,Romance,Latin,no_info,general,+,certain,(),0,-1
szer,https://hu.wiktionary.org/wiki/szer#Magyar,https://en.wiktionary.org/wiki/szer#Hungarian,sɛr,-,0,+,r,1372,no_info,no_info,no_info,no_info,no_info,-,certain,"('-', 'top')",0.255509899,0.752546787
szer,https://hu.wiktionary.org/wiki/szer#Magyar,https://en.wiktionary.org/wiki/szer#Hungarian,sɛr,agent,0,-,n,1372,U,no_info,no_info,no_info,no_info,-,certain,"('agent', 'suspect')",0.388157895,0.611712337
szeráj,https://hu.wiktionary.org/wiki/szeráj#Magyar,https://en.wiktionary.org/wiki/szeráj#Hungarian,sɛraːj,seraglio,0,-,n,1579,Turkic,Oghuz,Ottoman-Turkic,no_info,no_info,+,certain,"('seraglio', 'fishhook')",0.184931507,0.448461413
szerb,https://hu.wiktionary.org/wiki/szerb#Magyar,https://en.wiktionary.org/wiki/szerb#Hungarian,sɛrb,Serb,0,-,a,1602,IE,Slavic,Croatian, Serbian,no_info,-,"+,",(),0,-1
szerda,https://hu.wiktionary.org/wiki/szerda#Magyar,https://en.wiktionary.org/wiki/szerda#Hungarian,sɛrdɒ,Wednesday,0,-,n,1372,no_info,no_info,no_info,no_info,no_info,-,certain,(),0,-1
szerecsen,https://hu.wiktionary.org/wiki/szerecsen#Magyar,https://en.wiktionary.org/wiki/szerecsen#Hungarian,sɛrɛt͡ʃɛn,"blacky, black, darkey, darkie, dark-skinned, Negro",0,-,a,1387,IE,Romance,Italian,mostly North-Italian,no_info,+,certain,"('black', 'black')",0.048780488,1.000000119
szerel,https://hu.wiktionary.org/wiki/szerel#Magyar,https://en.wiktionary.org/wiki/szerel#Hungarian,sɛrɛl,collar,0,-,v,1807,no_info,no_info,no_info,no_info,derivative,-,certain,"('collar', 'collar')",0.37037037,0.99999994
szerelem,https://hu.wiktionary.org/wiki/szerelem#Magyar,https://en.wiktionary.org/wiki/szerelem#Hungarian,sɛrɛlɛm,"love, mush, passion",0,-,n,1200,no_info,no_info,no_info,no_info,derivative,-,certain,"('love', 'love')",0.15324165,1
szerenád,https://hu.wiktionary.org/wiki/szerenád#Magyar,https://en.wiktionary.org/wiki/szerenád#Hungarian,sɛrɛnaːd,serenade,0,-,n,1796,no_info,no_info,no_info,no_info,internationalism,+,certain,"('serenade', 'howl')",0.037974684,0.641845644
szerencse,https://hu.wiktionary.org/wiki/szerencse#Magyar,https://en.wiktionary.org/wiki/szerencse#Hungarian,sɛrɛnt͡ʃɛ,"chance, felicity, fluke, fortune, hit, luck, mercy, scoop",0,-,n,1372,IE,Slavic,no_info,Southern,no_info,+,certain,"('hit', 'hit')",0.044897959,1
szerény,https://hu.wiktionary.org/wiki/szerény#Magyar,https://en.wiktionary.org/wiki/szerény#Hungarian,sɛreːɲ,"austere, have_no_side, homely, humble, lowly, low-pitched, meek, moderate, modest, unambitious, unassuming, unimportant, unobtrusive, unpretending, unpretentious",0,-,a,1810,no_info,no_info,no_info,no_info,derivative,-,certain,"('moderate', 'strong')",0.275229358,0.74167639
szerep,https://hu.wiktionary.org/wiki/szerep#Magyar,https://en.wiktionary.org/wiki/szerep#Hungarian,sɛrɛp,"cue, function, lines, role",0,-,n,1787,no_info,no_info,no_info,no_info,derivative,-,certain,"('lines', 'line')",0.471264368,0.849981248
szerez,https://hu.wiktionary.org/wiki/szerez#Magyar,https://en.wiktionary.org/wiki/szerez#Hungarian,sɛrɛz,"addle, chalk_up_sg, chalk_up, come_by, gain, get, got, have, had, have, had, pick_up, pull, rabbit, realize, scrounge, secure, stroke, win, won",0,-,v,1372,no_info,no_info,no_info,no_info,derivative,-,certain,"('get', 'get')",0.159251769,1.000000119
széria,https://hu.wiktionary.org/wiki/széria#Magyar,https://en.wiktionary.org/wiki/széria#Hungarian,seːriɒ,run,0,-,n,1896,no_info,no_info,no_info,no_info,internationalism,+,certain,"('run', 'run')",0.024193548,1
szerint,https://hu.wiktionary.org/wiki/szerint#Magyar,https://en.wiktionary.org/wiki/szerint#Hungarian,sɛrint,"according_to, after, by, flame, in",0,-,r,1372,no_info,no_info,no_info,no_info,fossilised suffixed form,-,certain,"('after', 'after')",0.076759062,1
szerkezet,https://hu.wiktionary.org/wiki/szerkezet#Magyar,https://en.wiktionary.org/wiki/szerkezet#Hungarian,sɛrkɛzɛt,"action, build, conformation, construction, contraption, contrivance, dodge, fabric, frame, framework, gear, layout, machinery, mechanism, rig, set-up, structure, texture, works",0,-,n,1532,no_info,no_info,no_info,no_info,derivative,-,certain,"('build', 'build')",0.198921106,1
szerpentin,https://hu.wiktionary.org/wiki/szerpentin#Magyar,https://en.wiktionary.org/wiki/szerpentin#Hungarian,sɛrpɛntin,"serpentine, sinuous, streamers, traverse, zigzag",0,-,n,1874,IE,Germanic,German,no_info,no_info,+,certain,"('serpentine', 'waterfall')",0.224719101,0.68368727
szerszám,https://hu.wiktionary.org/wiki/szerszám#Magyar,https://en.wiktionary.org/wiki/szerszám#Hungarian,sɛrsaːm,"implement, instrument, tool, utensil",0,-,n,1372,no_info,no_info,no_info,no_info,no_info,-,certain,"('tool', 'tool')",0.3515625,1
szertartás,https://hu.wiktionary.org/wiki/szertartás#Magyar,https://en.wiktionary.org/wiki/szertartás#Hungarian,sɛrtɒrtaːʃ,"ceremonial, ceremony, observance, ordinance, rite, ritual, service",0,-,n,1510,no_info,no_info,no_info,no_info,no_info,-,certain,"('service', 'telephone')",0.731404959,0.75426501
szerte,https://hu.wiktionary.org/wiki/szerte#Magyar,https://en.wiktionary.org/wiki/szerte#Hungarian,sɛrtɛ,over,0,-,r,1372,no_info,no_info,no_info,no_info,fossilised suffixed form,-,certain,"('over', 'up')",0,0.881434739
szerű,https://hu.wiktionary.org/wiki/szerű#Magyar,https://en.wiktionary.org/wiki/szerű#Hungarian,sɛryː,-,0,+,r,1300,no_info,no_info,no_info,no_info,no_info,-,certain,"('-', 'top')",0.255509899,0.752546787
szerű,https://hu.wiktionary.org/wiki/szerű#Magyar,https://en.wiktionary.org/wiki/szerű#Hungarian,sɛryː,-,0,+,r,1350,no_info,no_info,no_info,no_info,no_info,-,certain,"('-', 'top')",0.255509899,0.752546787
szérű,https://hu.wiktionary.org/wiki/szérű#Magyar,https://en.wiktionary.org/wiki/szérű#Hungarian,seːryː,"corn-floor, thrashing_floor",0,-,n,1395,Turkic,Oghur,Chuvash,no_info,no_info,+,uncertain,(),0,-1
szérum,https://hu.wiktionary.org/wiki/szérum#Magyar,https://en.wiktionary.org/wiki/szérum#Hungarian,seːrum,"serum, sera",0,-,n,1793,IE,Romance,Latin,no_info,general,+,certain,"('serum', 'blood')",0.095744681,0.593324423
szerv,https://hu.wiktionary.org/wiki/szerv#Magyar,https://en.wiktionary.org/wiki/szerv#Hungarian,sɛrv,"body, organ, tract",0,-,n,1844,no_info,no_info,no_info,no_info,derivative,-,certain,"('body', 'body')",0.18783542,1
szervál,https://hu.wiktionary.org/wiki/szervál#Magyar,https://en.wiktionary.org/wiki/szervál#Hungarian,sɛrvaːl,serve,0,-,v,1932,no_info,no_info,no_info,no_info,no_info,-,certain,"('serve', 'hold')",0.100222717,0.73879689
szervíroz,https://hu.wiktionary.org/wiki/szervíroz#Magyar,https://en.wiktionary.org/wiki/szervíroz#Hungarian,sɛrviːroz,served_in,0,-,r,1843,IE,Germanic,German,no_info,no_info,+,certain,(),0,-1
szerviz,https://hu.wiktionary.org/wiki/szerviz#Magyar,https://en.wiktionary.org/wiki/szerviz#Hungarian,sɛrviz,"service, dishes, utensils",1,-,n,1769,IE,Romance,Italian,mostly North-Italian,no_info,+,certain,"('dishes', 'dish')",0.549744898,0.86670655
szerviz,https://hu.wiktionary.org/wiki/szerviz#Magyar,https://en.wiktionary.org/wiki/szerviz#Hungarian,sɛrviz,"auto_repair_service, garage",2,-,n,1948,no_info,no_info,no_info,no_info,no_info,-,certain,"('garage', 'shop')",0.70212766,0.755203068
szervusz,https://hu.wiktionary.org/wiki/szervusz#Magyar,https://en.wiktionary.org/wiki/szervusz#Hungarian,sɛrvus,hello,0,-,v,1815,IE,Romance,Latin,no_info,domestic,+,certain,"('hello', 'kiss')",0.196132597,0.789229214
szerzet,https://hu.wiktionary.org/wiki/szerzet#Magyar,https://en.wiktionary.org/wiki/szerzet#Hungarian,sɛrzɛt,convent,0,-,n,1372,no_info,no_info,no_info,no_info,derivative,-,certain,"('convent', 'church')",0.658482143,0.721670508
szesz,https://hu.wiktionary.org/wiki/szesz#Magyar,https://en.wiktionary.org/wiki/szesz#Hungarian,sɛs,"hard_drink, hard_liquor, rum, spirit",0,-,n,1531,Turkic,Oghur,Chuvash,no_info,no_info,+,uncertain,"('spirit', 'spirit')",0.399671053,1
szeszély,https://hu.wiktionary.org/wiki/szeszély#Magyar,https://en.wiktionary.org/wiki/szeszély#Hungarian,sɛseːj,"eccentricity, fancy, fantasy, fit, kink, maggot, vagary, vapours, whim, whimsy",0,-,n,1815,no_info,no_info,no_info,no_info,derivative,-,certain,"('fit', 'look')",0.094915254,0.860240817
szét,https://hu.wiktionary.org/wiki/szét#Magyar,https://en.wiktionary.org/wiki/szét#Hungarian,seːt,"apart, asunder",0,-,r,1702,no_info,no_info,no_info,no_info,fossilised suffixed form,-,certain,"('apart', 'rest')",0.211895911,0.839887261
szexuális,https://hu.wiktionary.org/wiki/szexuális#Magyar,https://en.wiktionary.org/wiki/szexuális#Hungarian,sɛksuaːliʃ,"erotic, sexual",0,-,a,1807,IE,Romance,Latin,no_info,general,+,certain,"('sexual', 'rape')",0.328767123,0.735795021
szezon,https://hu.wiktionary.org/wiki/szezon#Magyar,https://en.wiktionary.org/wiki/szezon#Hungarian,sɛzon,season,0,-,n,1840,no_info,no_info,no_info,no_info,internationalism,+,certain,"('season', 'season')",0.380434783,0.99999994
szfinx,https://hu.wiktionary.org/wiki/szfinx#Magyar,https://en.wiktionary.org/wiki/szfinx#Hungarian,sfinks,sphinx,0,-,n,1604,IE,Romance,Latin,no_info,general,+,certain,"('sphinx', 'gourd')",0.263513514,0.538864017
szid,https://hu.wiktionary.org/wiki/szid#Magyar,https://en.wiktionary.org/wiki/szid#Hungarian,sid,"chide, chid, chidden, cuss, lash, scold, swear_at, zonk_it_sy",0,-,v,1300,unknown,unknown,unknown,unknown,unknown,+,certain,"('scold', 'scold')",0.166666667,1
szifon,https://hu.wiktionary.org/wiki/szifon#Magyar,https://en.wiktionary.org/wiki/szifon#Hungarian,sifon,"air_lift, offset, siphon, siphon-bottle, soda-water_siphon, syphon",0,-,n,1867,no_info,no_info,no_info,no_info,internationalism,+,certain,"('offset', 'drop')",0.040413112,0.774022043
sziget,https://hu.wiktionary.org/wiki/sziget#Magyar,https://en.wiktionary.org/wiki/sziget#Hungarian,siɡɛt,"island, isle",0,-,n,1055,no_info,no_info,no_info,no_info,derivative,-,certain,"('island', 'island')",0.387978142,0.99999994
szigony,https://hu.wiktionary.org/wiki/szigony#Magyar,https://en.wiktionary.org/wiki/szigony#Hungarian,siɡoɲ,"fish-fork, gaff, harpoon, spear, striker",0,-,n,1533,unknown,unknown,unknown,unknown,unknown,+,certain,"('spear', 'spear')",0.25304878,1
szigorú,https://hu.wiktionary.org/wiki/szigorú#Magyar,https://en.wiktionary.org/wiki/szigorú#Hungarian,siɡoruː,"austere, censorious, dour, exacting, hard, hard_and_fast, harsh, inclement, iron-clad, religious, rigid, severe, sharp, smart, stern, strait, strict, stringent",0,-,a,1724,no_info,no_info,no_info,no_info,derivative,-,certain,"('hard', 'hard')",0.082294264,1
szíj,https://hu.wiktionary.org/wiki/szíj#Magyar,https://en.wiktionary.org/wiki/szíj#Hungarian,siːj,"belt, chafing-mat, strap, thong",0,-,n,1270,U,no_info,no_info,no_info,no_info,-,uncertain,"('belt', 'belt')",0.298013245,1
szik,https://hu.wiktionary.org/wiki/szik#Magyar,https://en.wiktionary.org/wiki/szik#Hungarian,sik,on,0,-,v,1055,no_info,no_info,no_info,no_info,derivative,-,uncertain,"('on', 'before')",0.095121951,0.906691492
szikár,https://hu.wiktionary.org/wiki/szikár#Magyar,https://en.wiktionary.org/wiki/szikár#Hungarian,sikaːr,"haggard, lean, skinny, spare",0,-,a,1782,no_info,no_info,no_info,no_info,derivative,-,certain,"('lean', 'soft')",0.084858569,0.740821064
szike,https://hu.wiktionary.org/wiki/szike#Magyar,https://en.wiktionary.org/wiki/szike#Hungarian,sikɛ,"dissector, lance, lancet, scalpel",0,-,n,1792,unknown,unknown,unknown,unknown,unknown,+,certain,"('scalpel', 'screwdriver')",0.592682927,0.728257656
szikkad,https://hu.wiktionary.org/wiki/szikkad#Magyar,https://en.wiktionary.org/wiki/szikkad#Hungarian,sikːɒd,parched,0,-,n,1527,no_info,no_info,no_info,no_info,no_info,-,certain,"('parched', 'pasture')",0.358333333,0.653702438
szikla,https://hu.wiktionary.org/wiki/szikla#Magyar,https://en.wiktionary.org/wiki/szikla#Hungarian,siklɒ,"cliff, crag, rock",0,-,n,1490,no_info,no_info,no_info,no_info,no_info,-,certain,"('cliff', 'cliff')",0.16576087,1
szikra,https://hu.wiktionary.org/wiki/szikra#Magyar,https://en.wiktionary.org/wiki/szikra#Hungarian,sikrɒ,"flake, scintilla, spark, sparkle",0,-,n,1395,no_info,no_info,no_info,no_info,no_info,-,certain,"('sparkle', 'shine')",0.101821192,0.744840443
szikvíz,https://hu.wiktionary.org/wiki/szikvíz#Magyar,https://en.wiktionary.org/wiki/szikvíz#Hungarian,sikviːz,soda-water,0,-,n,1870,no_info,no_info,no_info,no_info,no_info,-,certain,(),0,-1
szil,https://hu.wiktionary.org/wiki/szil#Magyar,https://en.wiktionary.org/wiki/szil#Hungarian,sil,elm,0,-,n,1055,FU,no_info,no_info,no_info,no_info,-,certain,"('elm', 'vine')",0.194087404,0.607357502
szilaj,https://hu.wiktionary.org/wiki/szilaj#Magyar,https://en.wiktionary.org/wiki/szilaj#Hungarian,silɒj,"boisterous, robustic, robustious, savage, tempestuous, turbulent, vehement",0,-,a,1585,no_info,no_info,no_info,no_info,no_info,-,certain,"('boisterous', 'crowd')",0.289383562,0.776179492
szilánk,https://hu.wiktionary.org/wiki/szilánk#Magyar,https://en.wiktionary.org/wiki/szilánk#Hungarian,silaːnk,"chip, flaw, shard, shiver, sliver, spall, spill, splinter, splintering",0,-,n,1784,no_info,no_info,no_info,no_info,derivative,-,certain,"('shiver', 'shiver')",0.072815534,1
szilánk,https://hu.wiktionary.org/wiki/szilánk#Magyar,https://en.wiktionary.org/wiki/szilánk#Hungarian,silaːnk,"chip, flaw, shard, shiver, sliver, spall, spill, splinter, splintering",0,-,n,1784,no_info,no_info,no_info,no_info,derivative,-,certain,"('shiver', 'shiver')",0.072815534,1
szilárd,https://hu.wiktionary.org/wiki/szilárd#Magyar,https://en.wiktionary.org/wiki/szilárd#Hungarian,silaːrd,"consistent, constant, fast, firm, fixed, grim, hard, immovable, rigid, robust, robustful, robustic, set, solid, sound, stable, steady, stout, sturdy, substantial, unmoved, unshakeable",0,-,a,1816,no_info,no_info,no_info,no_info,derivative,-,certain,"('fast', 'fast')",0.295275591,1
szilva,https://hu.wiktionary.org/wiki/szilva#Magyar,https://en.wiktionary.org/wiki/szilva#Hungarian,silvɒ,plum,0,-,n,1334,no_info,no_info,no_info,no_info,no_info,-,certain,"('plum', 'ripe')",0.094512195,0.725615919
szilva,https://hu.wiktionary.org/wiki/szilva#Magyar,https://en.wiktionary.org/wiki/szilva#Hungarian,silvɒ,plum,0,-,n,1334,no_info,no_info,no_info,no_info,no_info,-,certain,"('plum', 'ripe')",0.094512195,0.725615919
szilváni,https://hu.wiktionary.org/wiki/szilváni#Magyar,https://en.wiktionary.org/wiki/szilváni#Hungarian,silvaːni,Sylvania,0,-,a,1844,no_info,no_info,no_info,no_info,no_info,-,certain,(),0,-1
szilveszter,https://hu.wiktionary.org/wiki/szilveszter#Magyar,https://en.wiktionary.org/wiki/szilveszter#Hungarian,silvɛstɛr,"""new_years_eve""",0,-,n,1899,no_info,no_info,no_info,no_info,from proper noun,-,certain,(),0,-1
szilvórium,https://hu.wiktionary.org/wiki/szilvórium#Magyar,https://en.wiktionary.org/wiki/szilvórium#Hungarian,silvoːrium,szilvórium,0,-,n,1777,no_info,no_info,no_info,no_info,neologism,-,certain,(),0,-1
szimatol,https://hu.wiktionary.org/wiki/szimatol#Magyar,https://en.wiktionary.org/wiki/szimatol#Hungarian,simɒtol,"sniff, snoop, snoop_around, star-gaze",0,-,v,1777,no_info,no_info,no_info,no_info,derivative,-,certain,"('sniff', 'sniff')",0.114606742,0.99999994
szimbólum,https://hu.wiktionary.org/wiki/szimbólum#Magyar,https://en.wiktionary.org/wiki/szimbólum#Hungarian,simboːlum,symbol,0,-,n,1518,IE,Romance,Latin,no_info,general,+,certain,"('symbol', 'true')",0.228571429,0.698496282
szimfónia,https://hu.wiktionary.org/wiki/szimfónia#Magyar,https://en.wiktionary.org/wiki/szimfónia#Hungarian,simfoːniɒ,symphony,0,-,n,1789,no_info,no_info,no_info,no_info,internationalism,+,certain,"('symphony', 'music')",0.580357143,0.648896873
szimmetria,https://hu.wiktionary.org/wiki/szimmetria#Magyar,https://en.wiktionary.org/wiki/szimmetria#Hungarian,simːɛtriɒ,"balance, symmetry",0,-,n,1793,no_info,no_info,no_info,no_info,internationalism,+,certain,"('balance', 'need')",0.289090909,0.773077786
szimpátia,https://hu.wiktionary.org/wiki/szimpátia#Magyar,https://en.wiktionary.org/wiki/szimpátia#Hungarian,simpaːtiɒ,sympathy,0,-,n,1770,no_info,no_info,no_info,no_info,internationalism,+,certain,"('sympathy', 'anger')",0.216165414,0.803469896
szimpla,https://hu.wiktionary.org/wiki/szimpla#Magyar,https://en.wiktionary.org/wiki/szimpla#Hungarian,simplɒ,single,0,-,a,1707,IE,Romance,Latin,no_info,general,+,certain,"('single', 'one')",0.130208333,0.784753859
szimulál,https://hu.wiktionary.org/wiki/szimulál#Magyar,https://en.wiktionary.org/wiki/szimulál#Hungarian,simulaːl,"counterfeit, malinger, simulate",0,-,a,1619,IE,Romance,Latin,no_info,general,+,certain,"('simulate', 'noise')",0.185069984,0.609109402
szín,https://hu.wiktionary.org/wiki/szín#Magyar,https://en.wiktionary.org/wiki/szín#Hungarian,siːn,edifice,1,-,n,1456,IE,Slavic,no_info,Eastern ,no_info,+,uncertain,"('edifice', 'brick')",0.664473684,0.727663517
szín,https://hu.wiktionary.org/wiki/szín#Magyar,https://en.wiktionary.org/wiki/szín#Hungarian,siːn,"colour, color, complexion, face, hovel, lean-to, setting, tint",3,-,n,1786,no_info,no_info,no_info,no_info,no_info,-,certain,"('colour', 'colour')",0.595541401,1
szín,https://hu.wiktionary.org/wiki/szín#Magyar,https://en.wiktionary.org/wiki/szín#Hungarian,siːn,"colour, color, tint",2,-,n,1200,unknown,unknown,unknown,unknown,unknown,+,certain,"('colour', 'colour')",0.595541401,1
